7zip 26.02-1
accountsservice 26.27.3-1
alacritty 0.17.0-1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-6
alsa-utils 1.2.16-1
amd-ucode 20260810-1
arj 3.10.22-14
atool 0.39.0-10
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bat 0.26.1-2
beanshell 2.1.1-2
bind 9.20.26-1
bleachbit 6.0.2-1
bluez 5.87-2
bluez-cups 5.87-2
bluez-tools 0.2.0-6
bluez-utils 5.87-2
botan 3.13.0-1
brightnessctl 0.5.1-3
btrfs-progs 7.1-1
cdrdao 1.2.6-3
cdrtools 3.02a09-6
celluloid 0.30-2
clipmenu 6.2.0-3
coin-or-mp 1.8.4-7
composer 2.10.2-1
cpuinfo r843.ea6b9f1-1
cups 2:2.4.19-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.3-1
cups-pk-helper 0.2.7-2
curl 8.21.0-1
dd_rescue 1.99.22-1
ddrescue 1.30-2
devtools 1:1.5.1-1
dhclient 4.4.3.P1-4
dhcpcd 10.5.0-1
djvulibre 3.5.30.1-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.93-1
dosfstools 4.2-5
dunst 1.13.2-2
dvdauthor 0.7.2-15
e2fsprogs 1.47.4-1
efibootmgr 18-4
efivar 39-2
elinks 0.20.0-1
f2fs-tools 1.16.0-3
fd 10.4.2-2
feh 3.12.2-1
ffmpeg 2:9.0.1-1
ffmpegthumbnailer 2.3.0-2
fftw-openmpi 3.3.11-1
filezilla 3.70.6-1
flameshot 14.0.0-1
foomatic-db 3:20260209-1
foomatic-db-engine 5:20200131-2
foomatic-db-gutenprint-ppds 5.3.5-1
foomatic-db-nonfree 3:20260209-1
foomatic-db-nonfree-ppds 3:20260209-1
foomatic-db-ppds 3:20260209-1
foot-terminfo 1.27.0-2
frei0r-plugins 3.2.3-2
fzf 0.74.2-1
geany 2.1-2
geany-plugins 2.1-3
geoclue 2.8.2-1
geoip 1.6.12-3
geoip-database 20260204-1
geoip-database-extra 20260204-1
geoipupdate 8.0.0-1
ghostscript 10.07.1-1
git 2.55.0-1
git-zsh-completion 2.55.0-1
github-cli 2.97.0-1
glab 1.113.0-1
glew 2.3.1-1
gnome-keyring 1:50.0-1
gnuplot 6.0.5-1
go 2:1.26.6-1
gpart 0.3-6
gparted 1.8.1-2
grim 1.5.0-2
grml-zsh-config 0.20.1-1
grub 2:2.14-1
gst-libav 1.28.6-1
gst-plugins-bad 1.28.6-1
gunicorn 26.0.0-1
gvfs 1.60.2-1
gvfs-goa 1.60.2-1
gvfs-gphoto2 1.60.2-1
gvfs-mtp 1.60.2-1
gvfs-nfs 1.60.2-1
gvfs-onedrive 1.60.2-1
gvfs-smb 1.60.2-1
hardinfo2 2.2.16-2
hddtemp 0.3.beta15.54-5
hdf5 2.2.0-1
highlight 4.20-1
htop 3.5.2-1
i3-wm 4.25.1-1
imagemagick 7.1.2.29-2
intel-ucode 20260812-1
inter-font 4.1-1
iw 6.17-1
iwd 3.12-1
jdk-openjdk 26.0.2.u10-1
jfsutils 1.1.15-9
julia 2:1.12.6-1
kitty 0.48.2-1
less 1:704-1
lhasa 0.5.0-1
libcaca 0.99.beta20-7
libcupsfilters 2.1.1-4
libheif 1.23.1-4
libmysofa 1.3.4-1
libmythes 1:1.2.6-1
libotr 4.1.1-6
libraw 0.22.2-1
libreoffice-fresh 26.2.5-1
libultrahdr 2.0.2-1
libwmf 0.2.15-1
libwpg 0.3.4-3
libzip 1.11.4-1
lightdm 1:1.32.0-9
lightdm-slick-greeter 2.2.7-1
linux 7.1.8.arch1-3
linux-firmware 20260810-1
linux-firmware-liquidio 20260810-2
linux-firmware-marvell 20260810-2
linux-firmware-mellanox 20260810-2
linux-firmware-nfp 20260810-2
linux-firmware-qcom 20260810-2
linux-firmware-qlogic 20260810-2
linux-headers 7.1.8.arch1-3
linux-lts 6.18.44-1
linux-lts-headers 6.18.44-1
lldb 22.1.8-1
logrotate 3.22.0-1
lrzip 0.660-1
lsof 4.99.7-1
luit 20250912-1
lxappearance 0.6.4-3
lynx 2.9.3-1
lzip 1.26-1
lzop 1.04-4
mako 1.11.0-1
man-db 2.13.1-2
man-pages 6.18-1
mariadb-libs 12.3.2-4
mediainfo 26.05-1
mono 6.12.0.206-1
mousepad 0.7.0-1
mpv 1:0.41.0-4
mtools 1:4.0.49-1
nano 9.1-1
neovim 0.12.4-1
network-manager-applet 1.36.0-2
